ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF205K01RZ6,IMFCOD2DP,DP,GMF,10,1075.23
INF740K01284,DSPBRWEF,GR,OMF,7.5,17.88
INF740K01292,DSPBRWEF,DP,OMF,7.5,13.04
INF740K01PC5,DSPWEFDGR,GR,OMF,7.5,18.69
INF760K01241,CRCFGP,GR,OMF,7.5,96.6
INF760K01225,CRCFDP,DP,OMF,7.5,44.1
INF760K01DU1,CRCFDG,GR,OMF,7.5,109.41
INF760K01DS5,CRCFDD,DP,OMF,7.5,79.34
INF205K01338,RELIGAREPS,GR,OMF,7.5,57.63
INF205K01353,RELIGAREPS,DP,OMF,7.5,41.98
INF205K01NE0,IMFPSD2DP,DP,OMF,7.5,49.25
INF205K01NG5,IMFPSD1GR,GR,OMF,7.5,67.33
INF846K01412,AXISCFGP,GR,GMF,10,2685.03
INF846K01420,AXISCFDD,DR,GMF,10,1001.4
INF846K01438,AXISCFWD,DP,GMF,10,1002.54
INF846K01453,AXISCFDP,DP,GMF,10,1003.77
INF846K01CY2,AXISCFDM,DP,GMF,10,1003.21
INF846K01DA0,AXISCFDR,DR,GMF,10,1000.96
INF846K01CX4,AXISCFDG,GR,GMF,10,2704.84
INF846K01DB8,AXISCFDW,DP,GMF,10,1002.55
INF846K01537,ATAFIGR,GR,OMF,7.5,2835.25
INF846K01545,ATAFIDDR,DR,OMF,7.5,1013.25
INF846K01552,ATAFIWDP,DP,OMF,7.5,1011.95
INF846K01578,ATAFIMDP,DP,OMF,7.5,1012.07
INF846K01EN1,AXISTADG,GR,OMF,7.5,2961.6
INF846K01EQ4,AXISTADR,DR,OMF,7.5,1012.47
INF846K01479,ATAFRGR,GR,OMF,7.5,2658.18
INF846K01DP8,AXISEFDG,GR,OMF,7.5,61.4
INF846K01DN3,AXISEFD1,DP,OMF,7.5,25.28
INF846K01164,AEFGR,GR,OMF,7.5,53.95
INF846K01172,AEFDP,DP,OMF,7.5,17.95
INF740K01730,DSPBRWMF,GR,OMF,7.5,16.74
INF740K01748,DSPBRWMF,DP,OMF,7.5,15.94
INF740K01PF8,DSPWMFDGR,GR,OMF,7.5,17.87
INF846K01149,ATAXDP,DP,OMF,7.5,24.48
INF846K01131,ATAXGR,GR,OMF,7.5,84.11
INF846K01EX0,AXISTSD1,DP,OMF,7.5,51.8
INF846K01EW2,AXISTSDG,GR,OMF,7.5,94.16
INF194K01987,IDFC237,GR,OMF,7.5,30.2
INF194K016A9,IDFCD237,GR,OMF,7.5,32.16
INF194K01AB9,IDFC239,GR,OMF,7.5,35.61
INF194K01AC7,IDFC240,DP,OMF,7.5,20.67
INF194K019A3,IDFCD239,GR,OMF,7.5,37.85
INF194K01961,IDFC242,DP,OMF,7.5,23.72
INF194K01953,IDFC241,GR,OMF,7.5,39.71
INF194K012B6,IDFCD241,GR,OMF,7.5,42.55
INF109K01RT3,IP1587,GR,OMF,7.5,29.82
INF109K01YE1,IP1839P,DP,OMF,7.5,10.76
INF109K010A6,IPRU8104,GR,OMF,7.5,30.96
INF109K011A4,IPRU8132P,DP,OMF,7.5,12.7
INF194K01RY5,IDFC244,DP,OMF,7.5,13.96
INF194K01RW9,IDFC243,GR,OMF,7.5,29.1
INF194K01SB1,IDFC264,DP,OMF,7.5,13.71
INF194K015B9,IDFCD243,GR,OMF,7.5,32.21
INF846K01644,ASTFIGR,GR,OMF,7.5,28.04
INF846K01651,ASTFIMDP,DP,OMF,7.5,10.23
INF846K01677,ASTFIRDP,DP,OMF,7.5,10.39
INF846K01594,ASTFRGR,GR,OMF,7.5,27.72
INF846K01RJ1,AXISSTRDD,DP,OMF,7.5,18.76
INF846K01EI1,AXISSTDG,GR,OMF,7.5,30.41
INF846K01EJ9,AXISSTDM,DP,OMF,7.5,10.05
INF761K01199,BOIFIRGG,GR,OMF,7.5,49.54
INF761K01231,BOIFIRQD,DP,OMF,7.5,32.15
INF761K01215,BOIFIRDD,DP,OMF,7.5,31.58
INF761K01694,FIDD,DP,OMF,7.5,53.72
INF761K01702,FIDG,GR,OMF,7.5,56.93
INF959L01GL9,PLFLFSG,GR,GMF,10,26.34
INF959L01GF1,PLFLFGD,GR,GMF,10,26.56
INF903J01HC8,SMIPARMDP,DP,OMF,7.5,13.4
INF903J01HB0,SMIPARG,GR,OMF,7.5,27.11
INF903J01OP6,MIGAD,GR,OMF,7.5,29.56
INF903J01HD6,SMIPARQDP,DP,OMF,7.5,17.89
INF194K013A6,IDFCD258,DP,OMF,7.5,43.56
INF194K01920,IDFC257,GR,OMF,7.5,46.83
INF194K01938,IDFC258,DP,OMF,7.5,42.5
INF194K012A8,IDFCD257,GR,OMF,7.5,47.93
INF740K01532,DSPBRF25,GR,OMF,7.5,45.4
INF740K01540,DSPBRF25,DP,OMF,7.5,19.82
INF740K01OC8,DSPF25DDP,DP,OMF,7.5,38.17
INF740K01OB0,DSPF25DGR,GR,OMF,7.5,50.06
INF200K01BD8,SBIPSU,DP,OMF,7.5,30.03
INF200K01BC0,SBIPSU,GR,OMF,7.5,30.03
INF846K01693,AISGR,GR,OMF,7.5,27.09
INF846K01701,AISQDP,DP,OMF,7.5,11.03
INF846K01EA8,AXISISDG,GR,OMF,7.5,31.21
INF769K01127,MIRAEEBRDD,DP,OMF,7.5,47.03
INF769K01101,MIRAEEBRGG,GR,OMF,7.5,131.1
INF769K01BI1,MIRAEEBD1,GR,OMF,7.5,145.92
INF769K01BJ9,MIRAEEBD2,DP,OMF,7.5,79.85
INF204K01FW1,RELREGSBGP,GR,OMF,7.5,91.51
INF204K01FX9,RELREGSBDP,DP,OMF,7.5,26.43
INF204K01B16,RELRSBDPDP,DP,OMF,7.5,36.11
INF204K01B08,RELRSBDPGP,GR,OMF,7.5,102.11
INF204K013R8,RELGSBDPQD,DP,OMF,7.5,22.47
INF204K011R2,SHAQRMF,DP,OMF,7.5,24.67
INF204KB1BD7,SHAMRMF,DP,OMF,7.5,17.86
INF204KB1BF2,SHDPD,DP,OMF,7.5,16.41
INF204K01FQ3,RELREGSDGP,GR,OMF,8.5,31.63
INF204K01FR1,RELREGSDDP,DP,OMF,7.5,12.94
INF204K01A74,RELRSDDPGP,GR,OMF,7.5,34.51
INF044D01948,TMFNIGPG,GR,OMF,7.5,41.63
INF044D01CQ5,NIG1GTMF,GR,OMF,7.5,44.2
INF109K01IF1,IPRU1615,GR,OMF,7.5,55.75
INF109K01PR1,IP1616P,DP,OMF,7.5,55.75
INF109K01Y64,IPRU8108P,DP,OMF,7.5,58.49
INF109K01Y80,IPRU8107,GR,OMF,7.5,58.51
INF959L01130,PLFIPGP,GR,OMF,7.5,25.11
INF959L01114,PLFIPQD,DP,OMF,7.5,15.44
INF959L01676,PLFIPGD,GR,OMF,7.5,29.97
INF955L01153,BPMFSTGPG,GR,OMF,7.5,26.61
INF955L01138,BPMFSTDPR,DP,OMF,7.5,10.19
INF955L01BD5,BPMFSTD2,GR,OMF,7.5,28.67
INF179K01CU6,HSTOG,GR,OMF,7.5,29.07
INF179K01CV4,HSTOD,DP,OMF,7.5,10.23
INF179K01YM7,HSTOGTGR,GR,OMF,7.5,29.89
INF179KA1Q53,HSTOPDNDP,DP,OMF,7.5,17.71
INF179KA1Q79,HSTOPRNDP,DP,OMF,7.5,17.27
INF846K01768,ATRIPGR,GR,OMF,7.5,34.43
INF846K01776,ATRIPDP,DP,OMF,7.5,18.43
INF846K01ET8,AXISTPD1,DP,OMF,7.5,23.97
INF846K01EV4,AXISTPDG,GR,OMF,7.5,39.45
INF179KA1D33,MTOPRPNDP,DP,OMF,7.5,17.87
INF179KA1D17,MTOPNDDPL0,DP,OMF,7.5,18.43
INF179K01DC2,HMTOG,GR,OMF,9.5,29.52
INF179K01DD0,HMTOD,DP,OMF,7.5,10.37
INF179K01XB2,HMTODTDP,DP,OMF,7.5,10.21
INF179K01XD8,HMTOGTGR,GR,OMF,7.5,30.08
INF789F01JQ5,DBGPG,GR,OMF,7.5,28.14
INF789F01JO0,DBDPD,DP,OMF,7.5,15.32
INF204K01HY3,RELSMLCPGR,GR,OMF,7.5,148.4
INF204K01IA1,RELSMLCPDP,DP,OMF,7.5,85.24
INF204K01J91,RELSMADPDP,DP,OMF,7.5,97.94
INF204K01J83,RELSMADPBP,GR,OMF,7.5,164.77
INF204K01K15,RELSMADPGP,GR,OMF,7.5,164.77
INF760K01AR3,CRLCGP,GR,OMF,7.5,53.63
INF760K01AS1,CRLCDP,DP,OMF,7.5,27.39
INF760K01FR2,CRLCDG,GR,OMF,7.5,61.09
INF760K01FP6,CRLCDD,DP,OMF,7.5,49.24
INF204K01IM6,RELSENGP,GR,OMF,7.5,36.39
INF204K01IQ7,RELSENANDP,DP,OMF,7.5,28.68
INF204K01K64,RELSENHYHD,DP,OMF,7.5,30.57
INF204K01L14,RELSENDPQD,DP,OMF,7.5,30.58
INF204K01K80,RELSENDPGP,GR,OMF,7.5,38.43
INF204K01II4,RELNIFANDP,DP,OMF,7.5,28.92
INF204K01H69,RELNIFDPQD,DP,OMF,7.5,31.43
INF204K01H36,RELNIFDPGP,GR,OMF,7.5,39.46
INF204K01H10,RELNIFDPDP,DP,OMF,7.5,31.49
INF204K01IE3,RELNIFGP,GR,OMF,7.5,36.8
INF204K01IG8,RELNIFQTDP,DP,OMF,7.5,29.02
INF204K01IY1,RELABTGAGF,GR,OMF,7.5,24.6
INF204K01IZ8,RELABTGADP,DP,OMF,7.5,14.74
INF204K01XZ7,RELABTDPGL,GR,OMF,7.5,26.37
INF204K01YA8,RELABTDPDP,DP,OMF,7.5,16.24
INF204KA1MT1,RELABRDMDP,DP,OMF,7.5,12.82
INF204KA1MV7,RELABDPMDP,DP,OMF,7.5,13.8
INF109K01GU4,IPRU1637,GR,OMF,9.5,28.73
INF109K01GV2,IPRU1638P,DP,OMF,7.5,10.96
INF109K01V34,IPRU8111P,DP,OMF,7.5,11.61
INF109K01V00,IPRU8110,GR,OMF,7.5,31.43
INF205K01TM0,RELIGARMTG,GR,OMF,7.5,2487.58
INF205K01TH0,RGFMTD1GR,GR,OMF,7.5,2639.91
INF174K01179,K30,DP,OMF,7.5,63.56
INF174K01153,K30,GR,OMF,7.5,492.41
INF174K01KW6,K30G13D,GR,OMF,7.5,558.75
INF174K01KY2,K30R03D,DP,OMF,7.5,73.9
INF194K01BY9,IDFC265,GR,OMF,7.5,44.85
INF194K01BZ6,IDFC266,DP,OMF,7.5,38.29
INF194K01X53,IDFCD266,DP,OMF,7.5,46.01
INF194K01X46,IDFCD265,GR,OMF,7.5,51.65
INF846K01859,AXISMCGP,GR,OMF,7.5,93.99
INF846K01867,AXISMCDP,DP,OMF,7.5,38.19
INF846K01EF7,AXISMCD1,DP,OMF,7.5,49.84
INF846K01EH3,AXISMCDG,GR,OMF,7.5,107.91
INF204K01KN0,RELGLDSFGP,GR,OMF,7.5,28.02
INF204K01KO8,RELGLDSFDP,DP,OMF,7.5,28.02
INF204K01YD2,RELGOLDPDP,DP,OMF,7.5,29.22
INF204K01YC4,RELGOLDPGP,GR,OMF,7.5,29.22
INF174K01AU1,KGOLDDP,DP,OMF,7.5,28.19
INF174K01AT3,KGOLDG,GR,OMF,7.5,28.19
INF174K01MQ4,K47D,DP,OMF,7.5,29.57
INF174K01MP6,KGOFG46D,GR,OMF,7.5,29.57
INF174K01419,KINCOME+,DP,OMF,7.5,12.75
INF174K01393,KINCOME+,GR,OMF,7.5,52.6
INF174K01JZ1,KKIPG41D,GR,OMF,7.5,59.88
INF174K01KA2,K42D,DP,OMF,7.5,13.82
INF769K01150,MIRAEICRDD,DP,OMF,7.5,24.72
INF769K01135,MIRAEICRGG,GR,OMF,7.5,81.44
INF769K01BL5,MIRAEICD1,GR,OMF,7.5,95.43
INF769K01BM3,MIRAEICD2,DP,OMF,7.5,62.11
INF846K01917,AXISDBGP,GR,OMF,7.5,26.8
INF846K01925,AXISDBQD,DP,OMF,7.5,10.64
INF846K01DI3,AXISDBDG,GR,OMF,7.5,29.32
INF760K01BM2,CRCYGP,GR,OMF,7.5,23.28
INF760K01BO8,CRCYDP,DP,OMF,7.5,15.2
INF760K01BQ3,CRCYQP,DP,OMF,7.5,15
INF760K01DX5,CRCYDG,GR,OMF,7.5,25.22
INF760K01DV9,CRCYDM,DP,OMF,7.5,17.29
INF109K01TT9,IPRU1748P,DP,OMF,7.5,10.93
INF109K01TP7,IPRU1746,GR,OMF,7.5,25.51
INF109K01TR3,IPRU1747P,DP,OMF,7.5,10.67
INF109K01T53,IPRU8125P,DP,OMF,7.5,11.14
INF109K01T04,IPRU8123,GR,OMF,7.5,27.46
INF109K01T38,IPRU8124P,DP,OMF,7.5,10.8
INF109KC1NA3,P9418P,DP,OMF,7.5,10.09
INF082J01150,QUANTQSGPG,GR,OMF,7.5,27.89
INF082J01358,QMFQSRGG,GR,OMF,7.5,27.64
INF582M01104,UNEFGR,GR,OMF,7.5,45
INF582M01120,UNEFDP,DP,OMF,7.5,28.43
INF582M01633,UNEFGD,GR,OMF,7.5,49.44
INF582M01013,UNLGR,GR,GMF,10,2321.02
INF582M01021,UNLDDR,DR,GMF,10,1000.79
INF582M01682,UNLDRD,DR,GMF,10,1000.79
INF582M01674,UNLGRD,GR,GMF,10,2346.86
INF200K01HA1,GOLDFOFGR,GR,OMF,7.5,21.35
INF200K01HB9,GOLDFOFDP,DP,OMF,7.5,21.36
INF200K01RP8,SBGFD246G,GR,OMF,7.5,22.29
INF109K01TK8,IPRU1815,GR,OMF,7.5,22.67
INF109K01TM4,IPRU1816P,DP,OMF,7.5,22.67
INF109K01U92,IPRU8130,GR,OMF,7.5,23.38
INF109K01U76,IPRU8131P,DP,OMF,7.5,23.38
INF740K01EK2,DSPWAFG,GR,OMF,7.5,17.88
INF740K01OE4,DSPWAFDGR,GR,OMF,7.5,18.53
INF846K01AL3,AXISGOGP,GR,OMF,7.5,21.4
INF846K01AM1,AXISGODP,DP,OMF,7.5,21.42
INF846K01DQ6,AXISGOD1,DP,OMF,7.5,23.19
INF846K01DS2,AXISGODG,GR,OMF,7.5,23.17
INF179K01LC5,HDFCGOLDFF,GR,OMF,7.5,21.84
INF179K01VX0,HGFOFTGR,GR,OMF,7.5,22.78
INF666M01014,IBMLFGP,GR,GMF,10,2332.17
INF666M01451,IBMLFG1,GR,GMF,10,2357.94
INF666M01519,IBMLFM1,DP,GMF,10,1030.64
INF582M01781,UNTSPD,DP,OMF,7.5,61.03
INF582M01765,UNTSGD,GR,OMF,7.5,61.03
INF582M01302,UNTSG,GR,OMF,7.5,56.82
INF582M01328,UNTSDP,DP,OMF,7.5,31.76
INF205K01FB2,RELDPGOFOF,DP,OMF,7.5,20.8
INF205K01FA4,RELGPGOFOF,GR,OMF,7.5,20.79
INF205K01NJ9,IMFRGD1GR,GR,OMF,7.5,21.5
INF846K01AX8,AXISCMGP,GR,GMF,10,23.07
INF846K01DD4,AXISCMDG,GR,GMF,10,24.47
INF663L01484,PRMBFGPG,GR,OMF,7.5,2391.46
INF663L01AD7,PRMBFG1,GR,OMF,7.5,2677.23
INF666M01162,IBMBCGP,GR,OMF,7.5,38.53
INF666M01188,IBMBCDP,DP,OMF,7.5,21.71
INF666M01600,IBMBCG1,GR,OMF,7.5,45.41
INF582M01336,UNDBG,GR,OMF,7.5,21.2
INF582M01799,UNDBGD,GR,OMF,7.5,22.33
INF090I01EV3,FFUSOFDP,DP,OMF,7.5,63.53
INF090I01EW1,FFUSOFGR,GR,OMF,7.5,63.53
INF090I01JP4,FFUSOFDDP,DP,OMF,7.5,70.99
INF090I01JR0,FFUSOFDGR,GR,OMF,7.5,70.99
INF209K01PG2,B916D,DP,OMF,7.5,21.26
INF209K01PF4,B916G,GR,OMF,7.5,21.26
INF209K01YT7,B916DZ,DP,OMF,7.5,22.02
INF209K01YU5,B916GZ,GR,OMF,7.5,22.01
INF846K01BP2,AXISIFGPGP,GR,OMF,7.5,25.29
INF846K01BQ0,AXISIFQDDP,DP,OMF,7.5,10.17
INF846K01DT0,AXISIFDG,GR,OMF,7.5,27.6
INF846K01DW4,AXISIFDQ,DP,OMF,7.5,10.3
INF044D01BI4,TMFTBGPG,GR,OMF,7.5,47
INF044D01CN2,TBG1GTMF,GR,OMF,7.5,52.05
INF846K01CB0,AXISBDGP,GR,OMF,7.5,2401.7
INF846K01CC8,AXISBDDDR,DR,OMF,7.5,1038.88
INF846K01CD6,AXISBDWDD,DP,OMF,7.5,1038.2
INF846K01CF1,AXISBDDPD,DP,OMF,7.5,1035.41
INF846K01CR6,AXISBDDG,GR,OMF,7.5,2468.65
INF846K01CT2,AXISBDDM,DP,OMF,7.5,1035.53
INF955L01831,BPBSD,DP,OMF,7.5,19.13
INF955L01856,BPBSG,GR,OMF,7.5,38.88
INF955L01971,BPMFBSD2,GR,OMF,7.5,42.75
INF846K01CI5,AXISAFDP,DP,OMF,7.5,18.9
INF846K01CH7,AXISAFGP,GR,OMF,7.5,48.21
INF846K01CO3,AXISAFD1,DP,OMF,7.5,33.3
INF846K01CQ8,AXISAFDG,GR,OMF,7.5,55.02
INF082J01168,QUANTMAGPG,GR,OMF,7.5,29.96
INF082J01341,QMFMARGG,GR,OMF,7.5,29.4
INF109K01E43,IPRU1951P,DP,OMF,7.5,58.31
INF109K01E35,IPRU1950,GR,OMF,7.5,58.31
INF109K01Z55,IPRU8134P,DP,OMF,7.5,64.45
INF109K01Z71,IPRU8133,GR,OMF,7.5,64.46
INF740K01LP6,DSPUFEG,GR,OMF,7.5,52.66
INF740K01LQ4,DSPUFEDP,DP,OMF,7.5,26.38
INF740K01OH7,DSPUFEDGR,GR,OMF,7.5,57.16
INF740K01OI5,DSPUFEDDP,DP,OMF,7.5,50.4
INF174K01EG2,KCROADP,DP,OMF,7.5,11.74
INF174K01DY7,KCROG,GR,OMF,7.5,26.99
INF174K01LZ7,KCROG190D,GR,OMF,7.5,30.04
INF789F01QZ1,COGPG,GR,OMF,7.5,15.57
INF789F01RA2,CODPD,DP,OMF,7.5,11.06
INF205K01JV2,RELGRBKDBT,GR,OMF,7.5,2061.02
INF205K01KT4,IMFBDD1GR,GR,OMF,7.5,2197.09
INF277K01931,TATAPEF,GR,OMF,7.5,447.22
INF277K01EG3,TATAPEFD,DP,OMF,7.5,97.45
INF277K01QX2,TTOFE,DP,OMF,7.5,115.22
INF277K01QZ7,TTOFE,GR,OMF,7.5,507.15
INF277K01956,TATASSF,GR,OMF,7.5,363.96
INF277K01EH1,TATASSFD,DP,OMF,7.5,148.34
INF277K01NE9,TATASSDPZ,DP,OMF,7.5,224.76
INF277K01NG4,TATASSFZ,GR,OMF,7.5,409.45
INF277K01DS0,TATAGROD,DP,OMF,7.5,104.55
INF277K01626,TATAGROG,GR,OMF,7.5,378.8
INF277K01PW6,TINR,DP,OMF,7.5,140.13
INF277K01PY2,TGROGZ,GR,OMF,7.5,424.52
INF277K01DH3,TATAEOD,DP,OMF,7.5,75.79
INF277K01428,TATAEOG,GR,OMF,7.5,470.19
INF277K01MI2,TEOF,DP,OMF,7.5,103.65
INF277K01MK8,TEOF,GR,OMF,7.5,529
INF277K01451,TATAEPEG,GR,OMF,7.5,310.66
INF277K01DJ9,TATAEPEDP,DP,OMF,7.5,106.64
INF277K01DI1,TATAEPE5,DP,OMF,7.5,118.5
INF277K01ND1,TATAEPEGZ,GR,OMF,7.5,345.78
INF277K01MZ6,TATAEP5PZ,DP,OMF,7.5,130.29
INF277K01NB5,TATAEPDPZ,DP,OMF,7.5,120.51
INF277K01782,TATAINFG,GR,OMF,7.5,170.69
INF277K01DY8,TATAINFD,DP,OMF,7.5,80.91
INF277K01PQ8,TISF,GR,OMF,7.5,183.45
INF277K01PO3,TISF,DP,OMF,7.5,96.12
INF277K01FG0,TRSFP,GR,OMF,7.5,56.07
INF277K01QO1,TRFPGZ,GR,OMF,7.5,66.91
INF277K01758,TISAD,GR,OMF,7.5,179.86
INF277K01PK1,TISAH,GR,OMF,7.5,189.67
INF277K01LQ7,TATALSG01,GR,GMF,10,4334.28
INF277K014C0,TATALSD01,DR,GMF,10,1114.52
INF277K011C6,TLSDZ,DR,GMF,10,1114.52
INF277K01PR6,TLF,GR,GMF,10,4402.76
INF277K011D4,TMOND,DR,GMF,10,1001.52
INF277K01YD8,TATAFRSIG,GR,GMF,10,3799.6
INF277K01YE6,TFRSTF,GR,GMF,10,3840.25
INF277K012D2,TMONDZ,DR,GMF,10,1001.52
INF277K01MD3,TATAFWP1,DP,OMF,7.5,1008.2
INF277K01MA9,TATAFG1,GR,OMF,7.5,3611.53
INF277K01LZ8,TATAFD1,DR,OMF,7.5,1003.53
INF277K01OK4,TFF,GR,OMF,7.5,3700.24
INF277K018B3,TFD1Z,DR,OMF,7.5,1003.53
INF277K01EI9,TATASTD,DP,OMF,7.5,19.79
INF277K01972,TATASTG,GR,OMF,7.5,43.82
INF277K01QR4,TSTBF,GR,OMF,7.5,48.02
INF277K01P38,TSTBFF,DP,OMF,7.5,25.48
INF277K01P12,TSTBFE,DP,OMF,7.5,23.21
INF277K01519,TATAGFG,GR,GMF,10,71.32
INF277K01DN1,TATAGFD,DP,GMF,10,19.77
INF277K01OX7,TGSFR,GR,GMF,10,78.83
INF194K015G8,IDFCD280,GR,OMF,7.5,23.04
INF194K01SN6,IDFC280,GR,OMF,7.5,22.46
INF194K01SO4,IDFC281,DP,OMF,7.5,12.13
INF194K014M9,IDFC284,DP,OMF,7.5,10.73
INF194K018M0,IDD284DP,DP,OMF,7.5,10.82
INF194KA1JC5,IDFCBPDF,DR,OMF,7.5,10.88
INF194K017M2,IDFC283R,DR,OMF,7.5,10.7
INF194K011N3,IDD283DR,DR,OMF,7.5,10.45
INF247L01155,MFGP,GR,OMF,7.5,40.47
INF247L01171,MFDP,DP,OMF,7.5,19.21
INF247L01189,MFGD,GR,OMF,7.5,46.66
INF247L01205,MFPDD,DP,OMF,7.5,22.06
INF879O01027,PLTVFDP,GR,OMF,7.5,77.45
INF879O01019,PLTVFRPA,GR,OMF,7.5,71.65
INF579M01183,IDBFG,GR,OMF,7.5,20.26
INF579M01266,DDG,GR,OMF,7.5,21.31
INF209KA1LN1,B152ID,DR,OMF,7.5,100.55
INF209K01MG9,B152IG,GR,OMF,7.5,317.96
INF209K01UX7,B152GZ,GR,OMF,7.5,325.99
INF209K01UY5,B152IZ,DP,OMF,7.5,100.58
INF209K01MF1,BSL512G,GR,OMF,7.5,459.89
INF109KA1CB6,IPRU2144,GR,OMF,7.5,24.34
INF109KA1CD2,IPRU2145P,DP,OMF,7.5,24.34
INF109KA1CE0,IPRU8344,GR,OMF,7.5,26.05
INF174K01FO3,KGSG,GR,OMF,7.5,59.42
INF174K01FQ8,KGSMDP,DP,OMF,7.5,11.16
INF174K01KH7,KKGSG01D,GR,OMF,7.5,61.65
INF666M01AC0,IBMSTDG,GR,OMF,7.5,2160.75
INF666M01AJ5,IBMSTRG,GR,OMF,7.5,1905.18
INF740K01ZP6,DSPBPDRG,GR,OMF,7.5,21.87
INF740K01ZW2,DSPBPDDGR,GR,OMF,7.5,22.57
INF247L01213,USGP,GR,OMF,7.5,15.43
INF247L01247,USGDG,GR,OMF,7.5,16.21
INF579M01506,LRG,GR,GMF,10,1860.74
INF579M01621,LDG,GR,GMF,10,1870.55
INF663L01DW1,PRMMOD1,DP,OMF,7.5,51.46
INF663L01DZ4,PRMMOGP,GR,OMF,7.5,54.41
INF663L01EA5,PRMMODPP,DP,OMF,7.5,23.34
INF663L01DV3,PRMMOG1,GR,OMF,7.5,62.08
INF846K01K01,AXISSCGPG,GR,OMF,7.5,88.04
INF846K01K43,AXISSCD1D,DP,OMF,7.5,48.31
INF846K01K19,AXISCDPD,DP,OMF,7.5,41.8
INF846K01K35,AXISSCDGG,GR,OMF,7.5,100.44
INF200K01T28,SBISMCF,GR,OMF,7.5,154.53
INF200K01T36,SBISMCF,DP,OMF,7.5,91.29
INF200K01T51,SBISMCFDG,GR,OMF,7.5,174.98
INF200K01U41,SBITADF,GR,OMF,7.5,2836.28
INF209K011W7,B1180B,GR,OMF,7.5,50.91
INF209K010W9,B1180A,DP,OMF,7.5,21.39
INF209K014W1,B1180Y,GR,OMF,7.5,56.47
INF209K013W3,B1180X,DP,OMF,7.5,28.6
INF680P01042,SAHF101D,GR,OMF,7.5,33.41
INF680P01018,SAHF101,GR,OMF,7.5,29.79
INF680P01026,SAHF102P,DP,OMF,7.5,23.81
INF740K01K99,DPDYADMDP,DP,OMF,7.5,15.08
INF740K01K65,DSPDAAFRDP,DP,OMF,7.5,13.09
INF740K01K81,DSPDYADGR,GR,OMF,7.5,27.12
INF740K01K57,DSPDAAFRG,GR,OMF,7.5,24.01
INF760K01HB2,CRMODG,GR,OMF,7.5,21.22
INF760K01GY6,CRMOGPG,GR,OMF,7.5,19.95
INF789F014Z9,BPGPG,GR,OMF,7.5,19.98
INF789FA1U61,BPFDD,DP,OMF,7.5,13.4
INF247L01411,MOFMGPG,GR,OMF,7.5,80.57
INF247L01437,MOFMDPD,DP,OMF,7.5,40.32
INF247L01445,MOFFMGDG,GR,OMF,7.5,91.2
INF247L01460,MOFFMPDD,DP,OMF,7.5,42.63
INF336L01HF0,OHAPDG,GR,OMF,7.5,21.45
INF336L01HC7,OAPDG,GR,OMF,7.5,19.96
INF761K01BR9,BOIEDRGG,GR,OMF,7.5,23.23
INF761K01BO6,EDDG,DP,OMF,7.5,24.75
INF761K01BP3,BOIEDRDD,DP,OMF,7.5,16.2
INF174K01VQ5,KMDFG48D,GR,OMF,7.5,22.57
INF174K01VL6,KMEDIUM,GR,OMF,7.5,20.53
INF174K01VN2,KMEDIUMAD,DP,OMF,7.5,12.6
INF179KA1I61,CDNDT,DP,OMF,7.5,20.59
INF179KA1I87,CDNDR,DP,OMF,7.5,20.15
INF179KA1FZ3,CDOGT,GR,OMF,7.5,23.49
INF179KA1GD8,CDODR,DP,OMF,7.5,10.28
INF179KA1GC0,CDOGR,GR,OMF,7.5,21.88
INF179KA1GA4,CDODT,DP,OMF,7.5,10.61
INF179KA1JA8,HBPDT,DP,OMF,7.5,10.03
INF179KA1JD2,BPRD,DP,OMF,7.5,10.14
INF179KA1JC4,BPRG,GR,OMF,7.5,20.94
INF179KA1IZ7,HBPGT,GR,OMF,7.5,21.7
INF090I01KO5,FIBPDFGP,GR,OMF,7.5,20.47
INF090I01KR8,FIBPDFDGP,GR,OMF,7.5,21.31
INF247L01502,CPGDG,GR,OMF,7.5,53.53
INF247L01528,CPPDD,DP,OMF,7.5,30.41
INF247L01478,CPGPG,GR,OMF,7.5,48.81
INF247L01494,CPDPD,DP,OMF,7.5,29.51
INF903J01F76,SIARDP,DP,OMF,7.5,55.88
INF903J01G00,540,DP,OMF,7.5,59.63
INF903J01F92,82PD,GR,OMF,7.5,89.48
INF903J01F68,SIARG,GR,OMF,7.5,84.29
INF109KA1UA0,IPRU8573,GR,OMF,7.5,49.73
INF109KA1UB8,IPRU8574P,DP,OMF,7.5,24.94
INF109KA1TX4,IPRU2373,GR,OMF,7.5,45.27
INF109KA1TY2,IPRU2374P,DP,OMF,7.5,20.17
INF090I01KX6,FIFFEGFDGP,GR,OMF,7.5,11.33
INF582M01BY1,UNSMFG,GR,OMF,7.5,41.84
INF582M01CA9,UNSMFP,DP,OMF,7.5,36.34
INF582M01BU9,UNSMFGD,GR,OMF,7.5,45.56
INF204KA1PZ1,RELCBFGRGR,GR,OMF,7.5,14.02
INF204KA1QF1,RELCBFDPGP,GR,OMF,7.5,15.09
INF204KA1QB0,RELCBFDPDP,DP,OMF,7.5,12
INF754K01EF3,ATGPG,GR,OMF,7.5,17.92
INF754K01EA4,ATDG,GR,OMF,7.5,19.08
INF754K01EG1,ATDPD,DP,OMF,7.5,13.15
