ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF109K01431,IPGROWTH11,GR,OMF,7.5,844.29
INF109K011O5,IPRU8002,GR,OMF,7.5,933.42
INF109K019N0,IPRU8003P,DP,OMF,7.5,48.28
INF109K01EO2,IPRU42P,DP,OMF,7.5,94.68
INF109K01415,IPFMCG41,GR,OMF,7.5,471.32
INF109K01Z14,IPRU8011,GR,OMF,7.5,514.23
INF109K01Y98,IPRU8012P,DP,OMF,7.5,176.36
INF109K01FN1,IPRU02P,DP,OMF,7.5,23.73
INF109K01464,IPTAX01,GR,OMF,7.5,796.73
INF109K01Y31,IPRU8000,GR,OMF,7.5,877.71
INF109K01Y15,IPRU8001P,DP,OMF,7.5,43.24
INF109K01DX5,IPRU62P,DP,OMF,7.5,39.7
INF109K01480,IPRU61,GR,OMF,7.5,337.72
INF109K01Y07,IPRU8017,GR,OMF,7.5,372.05
INF109K01X81,IPRU8018P,DP,OMF,7.5,61.79
INF109KB1QK6,IPRU2759P,DP,OMF,7.5,25.5
INF109KB1QM2,IPRU8961P,DP,OMF,7.5,27.77
INF109K01506,IPTECH71,GR,OMF,7.5,168.1
INF109K01FO9,IPRU72P,DP,OMF,7.5,63.17
INF109K01Z48,IPRU8019,GR,OMF,7.5,185.15
INF109K01Z22,IPRU8020P,DP,OMF,7.5,123.65
INF109K01365,IPRU22,GR,OMF,7.5,81.01
INF109K01EZ8,IPRU21QP,DP,OMF,7.5,12.29
INF109K017L8,IPRU8007,GR,OMF,7.5,88.07
INF109K01JQ6,IP54P,DP,GMF,10,17.28
INF109K01JR4,IPRU53,GR,GMF,10,92.96
INF109K016C9,IPRU8016P,DP,GMF,10,18.22
INF109K018C5,IPRU8015,GR,GMF,10,99.54
INF204K01299,RELGROWTDP,DP,OMF,8.5,107.09
INF204K01315,RELGROWTBP,GR,OMF,7.5,565.97
INF204K01323,RELGROWTGP,GR,OMF,8.5,3399.83
INF204K01E39,RELGRODPDP,DP,OMF,7.5,166.46
INF204K01E54,RELGRODPGP,GR,OMF,7.5,3688.36
INF204K01372,RELVISINDP,DP,OMF,8.5,60.12
INF204K01398,RELVISINBP,GR,OMF,7.5,206.58
INF204K01406,RELVISINGP,GR,OMF,8.5,1226.55
INF204K01F04,RELVISDPDP,DP,OMF,7.5,67.35
INF204K01F20,RELVISDPGP,GR,OMF,7.5,1310.17
INF204K01CN7,RELINCOMDP,DP,OMF,7.5,10.78
INF204K01CP2,RELINCOQDP,DP,OMF,7.5,13
INF204K01CT4,RELINCOADP,DP,OMF,7.5,12.76
INF204K01CL1,RELINCOMGP,GR,OMF,7.5,81.78
INF204K01CM9,RELINCOMBP,GR,OMF,7.5,23.51
INF204K01XS2,RELINCDPGP,GR,OMF,7.5,90.57
INF044D01989,TMFSSGPG,GR,OMF,7.5,206.07
INF044D01955,TMFSSDPD,DP,OMF,7.5,100
INF044D01BU9,SSG1GTMF,GR,OMF,7.5,214.21
INF044D01815,TMFDSGPG,GR,OMF,7.5,113.14
INF044D01781,TMFDSDPD,DP,OMF,7.5,100.85
INF044D01CA9,DSG1GTMF,GR,OMF,7.5,118.86
INF044D01AC9,TMFLTGPG,GR,OMF,7.5,160.18
INF044D01997,TMFLTDPD,DP,OMF,7.5,75.04
INF044D01CG6,LTG1GTMF,GR,OMF,7.5,173.36
INF090I01890,FIIFNSEGP,GR,OMF,7.5,175.01
INF090I01874,FIIFNSEDP,DP,OMF,7.5,175.01
INF090I01GQ8,FIIFNSEDDP,DP,OMF,7.5,183.03
INF090I01GS4,FIIFNSEDGP,GR,OMF,7.5,183.03
INF090I01CU9,SFLGP,GR,GMF,10,53.61
INF090I01CS3,SFLDP,DP,GMF,10,10.4
INF090I01HS2,FIGSFGP,GR,GMF,10,58.39
INF090I01296,GFGP,GR,OMF,7.5,649.28
INF090I01270,GFDP,DP,OMF,7.5,101.34
INF090I01GW6,GFDDP,DP,OMF,7.5,115.04
INF090I01GY2,GFDGP,GR,OMF,7.5,713.96
INF090I01155,FIBCFDP,DP,OMF,8.5,44.77
INF090I01171,FIBCFGP,GR,OMF,8.5,883.04
INF090I01FO5,FIBCFDDP,DP,OMF,7.5,51.56
INF090I01FN7,FIBCFDGP,GR,OMF,7.5,968.59
INF090I01726,FIPFDP,DP,OMF,7.5,90.15
INF090I01809,FIPFGP,GR,OMF,7.5,2251.91
INF090I01FI7,FIPFDDP,DP,OMF,7.5,107.2
INF090I01FH9,FIPFDGP,GR,OMF,7.5,2507.54
INF090I01213,FIPPDP,DP,OMF,7.5,62.23
INF090I01239,FIPPGP,GR,OMF,7.5,1415.42
INF090I01FL1,FIPPDDP,DP,OMF,7.5,69.82
INF090I01FK3,FIPPDGP,GR,OMF,7.5,1561.11
INF090I01759,FIFDP,DP,OMF,7.5,46.77
INF090I01742,FIFGP,GR,OMF,7.5,456.31
INF090I01FF3,FIFDDP,DP,OMF,7.5,51.68
INF090I01FE6,FIFDGP,GR,OMF,7.5,496.21
INF090I01858,FIOFDP,DP,OMF,7.5,36.61
INF090I01841,FIOFGP,GR,OMF,7.5,215.77
INF090I01GD6,FIOFDDP,DP,OMF,7.5,40.63
INF090I01GC8,FIOFDGP,GR,OMF,7.5,234.46
INF090I01783,FITAXDP,DP,OMF,7.5,62.32
INF090I01775,FITAXGR,GR,OMF,7.5,1280.75
INF090I01JS8,FITAXDGR,GR,OMF,7.5,1414.54
INF090I01JT6,FITAXDDP,DP,OMF,7.5,71.63
INF090I01DH4,TIIBAADP,DP,OMF,7.5,16.3
INF090I01DG6,TIIBAAGP,GR,OMF,7.5,89.72
INF090I01DJ0,TIIBAAMDP,DP,OMF,7.5,14.89
INF090I01DL6,TIIBAAQDP,DP,OMF,7.5,11.93
INF090I01FW8,TIIBAADGP,GR,OMF,7.5,96.54
INF090I01BL0,FILFWDP,DP,GMF,10,1244.97
INF090I01BB1,FILFGP,GR,GMF,10,5499.29
INF090I01BG0,FILFSIPGP,GR,GMF,10,3628.44
INF090I01BF2,FILFSIPDD,DR,GMF,10,1000
INF090I01BM8,FILFSIPWDP,DP,GMF,10,1025.31
INF090I01JV2,FILFDSIPGP,GR,GMF,10,3655.54
INF090I01JW0,FILFDSIPDD,DR,GMF,10,1001.6
INF090I01JX8,FILFDSIPDP,DP,GMF,10,1022.03
INF090I01825,FTIBFDP,DP,OMF,7.5,29.83
INF090I01817,FTIBFGP,GR,OMF,7.5,237.18
INF090I01FZ1,FTIBFDGP,GR,OMF,7.5,267.63
INF090I01GA2,FTIBFDDP,DP,OMF,7.5,35.09
INF760K01084,CRETDP,DP,OMF,7.5,44.8
INF760K01100,CRETGP,GR,OMF,7.5,151.31
INF760K01EL8,CRETDG,GR,OMF,7.5,166.79
INF760K01EJ2,CRETDD,DP,OMF,7.5,71.57
INF760K01AB7,CRGLDPD,DP,GMF,10,15.04
INF760K01AE1,CRGLGPG,GR,GMF,10,68.97
INF760K01FC4,CRGLDG,GR,GMF,10,73.67
INF760K01308,CRMIDP,DP,OMF,7.5,13.22
INF760K01282,CRMIGP,GR,OMF,7.5,86.91
INF760K01AP7,CRMIQP,DP,OMF,7.5,13.78
INF760K01GB4,CRMIDG,GR,OMF,7.5,98.36
INF760K01GC2,CRMIQD,DP,OMF,7.5,16.14
INF760K01FZ5,CRMIDM,DP,OMF,7.5,16.09
INF903J01FR0,SBSRQDP,DP,OMF,7.5,12.78
INF903J01FQ2,SBSRG,GR,OMF,7.5,63.75
INF903J01PO6,22PD,GR,OMF,7.5,70.48
INF903J01512,SBNPPEQU19,DP,OMF,7.5,15.41
INF903J01538,SBNPPEQU21,GR,OMF,7.5,193
INF903J01NN3,14PD,GR,OMF,7.5,203.14
INF200K01610,MLIF-98-DP,DP,OMF,7.5,16.8
INF200K01594,MLIF-98-G,GR,OMF,7.5,64.24
INF200K01SR2,SBMIFD028G,GR,OMF,7.5,68.77
INF200K01420,MSF-IT-DP,DP,OMF,7.5,103.68
INF200K01VS4,SBITOFRG,GR,OMF,7.5,172.17
INF200K01404,MSF-FMC-DP,DP,OMF,7.5,167.85
INF200K01VR6,SBIFMCG,GR,OMF,7.5,278.78
INF189A01038,UTIMSHARE,DP,OMF,8.5,49.87
INF789F01976,UTIMSHARE,GR,OMF,7.5,239.74
INF789F01US8,UTMSHARE,GR,OMF,7.5,260.25
INF789F01UQ2,UTIMRD1D,DP,OMF,7.5,57.92
INF189A01053,UTIEQUITY,DP,OMF,8.5,178.73
INF789F01513,UTIEQUITY,GR,OMF,7.5,270.33
INF789F01TC4,EQD2G,GR,OMF,7.5,287.71
INF189A01046,UTITOP100,DP,OMF,7.5,72.46
INF789F01869,UTITOP100,GR,OMF,7.5,148.74
INF789F01323,UTIBALANCE,GR,OMF,7.5,346.38
INF789F01307,UTIBALANCE,DP,OMF,7.5,40.94
INF789F01BF5,UTIMMFGP,GR,GMF,10,6551.97
INF789F01PW0,MMIDR,DR,GMF,10,1128.51
INF789FA1M61,MMD6D,DP,GMF,10,1517.88
INF789F01XV6,MMD2G,GR,GMF,10,2860.1
INF789F01XU8,MMD1R,DR,GMF,10,1030.95
INF789F01PX8,MMIGG,GR,GMF,10,2828.61
INF789F01828,UTIMNC,DP,OMF,7.5,183.14
INF789F01844,UTIMNC,GR,OMF,7.5,355.2
INF789F01406,UTIBOND,GR,OMF,7.5,66.54
INF789F01380,UTIBANKING,DP,OMF,7.5,17.09
INF789F01679,UTIPHARMA,DP,OMF,7.5,169.78
INF789F01695,UTIPHARMA,GR,OMF,7.5,219.68
INF789F01604,UTIGSECSTP,GR,GMF,10,3266.77
INF789FB1S71,UTIGED2G,GR,GMF,10,3300.31
INF789FB1T13,GEDDR,DR,GMF,10,1370.86
INF789FB1S89,UTIGED3R,DR,GMF,10,1371.66
INF789F01521,UTIETSP,DP,OMF,7.5,34.43
INF789F01547,UTIETSP,GR,OMF,7.5,180.23
INF789F01TF7,ETD2G,GR,OMF,7.5,199.38
INF789F01JN2,NIGPG,GR,OMF,7.5,148.67
INF789F01JL6,UTINIDPD,DP,OMF,7.5,74.9
INF789F01XA0,NID2G,GR,OMF,7.5,150.6
INF174K01NL3,KTKLIQDR,DR,GMF,10,1222.81
INF174K01NI9,KLIQPREG,GR,GMF,10,4877.43
INF174K01NH1,KLIQD463D,DR,GMF,10,1222.81
INF174K01NE8,KLIQG462D,GR,GMF,10,4917.45
INF204K01UL3,RELLIQTPGP,GR,GMF,10,5250.81
INF204K01ZM0,LFAWRMF,DR,GMF,10,1531.84
INF204K01ZH0,RELLTPDPGP,GR,GMF,10,5955.49
INF204K01UQ2,RELLIQTIQP,DP,GMF,10,1012.76
INF204K01ZG2,LFADRMF,DR,GMF,10,1528.74
INF204K01ZI8,RELLTPDPMD,DP,GMF,10,1591.09
INF204K01ZK4,RELLTPDPQD,DP,GMF,10,1014.49
INF204K01UN9,RELLIQTPIG,GR,GMF,10,5888.9
INF204K01UM1,RELLIQTIDR,DR,GMF,10,1528.74
INF204K01US8,RELLIQTIWR,DR,GMF,10,1531.81
INF204K01UO7,RELLIQTIMP,DP,GMF,10,1587.69
INF204K01EF9,RELMEDIUGP,GR,OMF,7.5,54.26
INF204K01EJ1,RELMEDIMDP,DP,OMF,7.5,11.59
INF204K01EG7,IPDDRMF,DR,OMF,7.5,17.09
INF204K01C72,RELMTFDPQD,DP,OMF,7.5,12.05
INF204K01C15,RELMTFDPGP,GR,OMF,7.5,56.7
INF767K01931,LICNTPDPD,DP,OMF,7.5,27.18
INF767K01956,LICNTPGPG,GR,OMF,7.5,129.45
INF767K01EL3,LICTPD1,DP,OMF,7.5,32.25
INF767K01EM1,LICTPG1,GR,OMF,7.5,145.64
INF179KB1HK0,HLQDLFG,GR,GMF,10,4734.5
INF179KB1HP9,HLFGTGR,GR,GMF,10,4781.02
INF179KB1HO2,HLFDMTDP,DP,GMF,10,1028.14
INF179KB1IC5,HLFDDR,DR,GMF,10,1019.82
INF179KB1HM6,HLQDLFDM,DP,GMF,10,1028.12
INF090I01EA7,FTIMIPAGP,GR,OMF,7.5,81.35
INF090I01EB5,FTIMIPAMDP,DP,OMF,7.5,13.07
INF090I01ED1,FTIMIPAQDP,DP,OMF,7.5,12.23
INF090I01GF1,FTIMIPADGP,GR,OMF,7.5,88.66
INF966L01176,166OFGP,GR,OMF,7.5,220.41
INF966L01150,166OFDP,DP,OMF,7.5,78.35
INF966L01861,166OFD1,DP,OMF,7.5,85.68
INF966L01887,166OFDG,GR,OMF,7.5,243.94
INF966L01242,166BFDP,DP,OMF,7.5,55.32
INF966L01267,166BFGP,GR,OMF,7.5,401.09
INF966L01531,166BFD1,DP,OMF,7.5,59.58
INF966L01556,166BFDG,GR,OMF,7.5,430.1
INF966L01218,166GFDP,DP,OMF,7.5,73.12
INF966L01234,166GFGP,GR,OMF,7.5,639.43
INF966L01598,166GFD1,DP,OMF,7.5,79.62
INF966L01614,166GFDG,GR,OMF,7.5,687.53
INF966L01184,166GLDP,DP,OMF,7.5,116.05
INF966L01200,166GLGP,GR,OMF,7.5,126.62
INF966L01564,166GLD1,DP,OMF,7.5,123.32
INF966L01580,166GLDG,GR,OMF,7.5,133.81
INF090I01LK1,FIFRGP,GR,OMF,7.5,40.13
INF277K01303,TATABFG,GR,OMF,7.5,393.02
INF277K01DB6,TATABFD,DP,OMF,7.5,86.93
INF277K01CS2,TATABFMD,DP,OMF,7.5,83.6
INF277K01MN2,TEGFD,GR,OMF,7.5,436.35
INF277K01MO0,TEGFF,DP,OMF,7.5,96.94
INF277K01ML6,TEGFE,DP,OMF,7.5,102.48
INF277K01I60,TTSF96A,DP,OMF,7.5,87.85
INF277K01I94,TTSF96B,DP,OMF,7.5,194.77
INF277K01I86,TTSF96D,GR,OMF,7.5,42.61
INF277K01I52,TTSF96C,GR,OMF,7.5,37.72
INF192K01833,JMLFDP,DR,GMF,10,10.43
INF179K01756,HDFCGLG,GR,GMF,10,50.12
INF179K01772,HDFCGLD,DP,GMF,10,11.83
INF179K01VR2,HGLDTDP,DP,GMF,10,12.61
INF179K01VS0,HGLGTGR,GR,GMF,10,52.5
INF109K01613,IPPOWER121,GR,OMF,7.5,683.2
INF109K01FK7,IP122P,DP,OMF,7.5,32.69
INF109K012O3,IPRU8031P,DP,OMF,7.5,55.62
INF109K014O9,IPRU8030,GR,OMF,7.5,755.11
INF767K01048,CFGPG,GR,OMF,7.5,29.44
INF767K01FB1,CFG1G,GR,OMF,7.5,32.5
INF109K01WL0,IP23P,DP,OMF,7.5,12.09
INF209K01MC8,BSL331G,GR,OMF,7.5,486.48
INF209K01LZ1,B132G,GR,OMF,7.5,502.73
INF209K01MA2,B132WD,DP,OMF,7.5,100.42
INF209K01US7,B132WZ,DP,OMF,7.5,100.44
INF209K01UQ1,B132DZ,DP,OMF,7.5,100.27
INF209K01UR9,B132GZ,GR,OMF,7.5,510.49
INF090I01BZ0,FLDP,DP,GMF,10,10.83
INF090I01CA1,FLGP,GR,GMF,10,46.03
INF090I01GT2,FLDDP,DP,GMF,10,11.34
INF090I01GV8,FLDGP,GR,GMF,10,47.48
INF090I01LA2,FLMDP,DP,GMF,10,10.39
INF090I01LC8,FLMDDP,DP,GMF,10,10.82
INF090I01WV5,FISPFWDP,DP,GMF,10,10.03
INF760K01CU3,CRLISDR,DR,GMF,10,1005.5
INF760K01CX7,CRLISMD,DP,GMF,10,1002.99
INF760K01CW9,CRLISGG,GR,GMF,10,2902.85
INF760K01FU6,CRLIDG,GR,GMF,10,2916.49
INF760K01FS0,CRLIDD,DR,GMF,10,1005.5
INF200K01776,MCBP,GR,OMF,7.5,94.85
INF200K01QR6,SCBSP056GD,GR,OMF,7.5,102.95
INF955L01484,BPLFG,GR,GMF,10,2775.76
INF955L01AK2,BPMFLFD1,DR,GMF,10,1002.08
INF955L01AL0,BPMFLFD2,GR,GMF,10,2806.51
INF109K01PI0,IPRUINXNB,GR,OMF,7.5,217.94
INF109K012M7,IPRU8189,GR,OMF,7.5,226.6
INF109KB1NN7,IPRU2718P,DP,OMF,7.5,29.03
INF109KB1NL1,IPRU8920P,DP,OMF,7.5,30.47
INF109K01R22,IPRU8099,DR,GMF,10,100.14
INF109K01R14,IPRU8101,GR,GMF,10,352.02
INF767K01IQ3,LFDPD,DP,GMF,10,1000.18
INF767K01IS9,LFGPG,GR,GMF,10,4362.83
INF767K01DL5,LFD1D,DP,GMF,10,1027.72
INF767K01DN1,LFG1G,GR,GMF,10,4419.95
INF397L01950,LQWDP,DP,GMF,10,1001.14
INF955L01450,BPGFG,GR,GMF,10,38.33
INF955L01AD7,BPMFGFD2,GR,GMF,10,41.91
INF044D01773,TMFBEGPG,GR,OMF,7.5,141.1
INF044D01740,TMFBEDPD,DP,OMF,7.5,61.81
INF109K01FD2,IPRU25DP,DP,OMF,7.5,10.86
INF109K01GN9,IP26PP,GR,OMF,7.5,33.44
INF109K01GK5,IP1713P,DP,OMF,7.5,20.79
INF109K01GO7,IP1712P,DP,OMF,7.5,11.39
INF109K016E5,IPRU8145,GR,OMF,7.5,35.83
INF109K019E9,IPRU8010P,DP,OMF,7.5,10.55
INF109K01GE8,IP1714P,DP,OMF,7.5,11.58
INF109K014E0,IPRU8142P,DP,OMF,7.5,23.25
INF109K012E4,IPRU8143P,DP,OMF,7.5,11.41
INF109K017E3,IPRU8144P,DP,OMF,7.5,11.85
INF174K01ES7,KBSTG,GR,OMF,7.5,47.5
INF174K01JI7,KBSTG10D,GR,OMF,7.5,51.84
