120,MAHEPC,INE215D01010,132.35,20
121,COLPAL,INE259A01022,2765.9,20
122,NRBBEARING,INE349A01021,306.55,20
123,ROSSARI,INE02A801020,714,20
124,SGBJUN30,IN0020220045,7136.99,10
125,SHRIRAMPPS,INE217L01019,111.4,20
126,URAVI,INE568Z01015,508.75,100
127,SGBOCT25IV,IN0020170067,7100,10
128,SHAKTIPUMP,INE908D01010,2071.85,100
129,GANESHHOUC,INE460C01014,748.2,22.32
130,FMCGIETF,INF109KC1R48,568.13,50
131,DMART,INE192R01011,4798.65,20
132,CORDSCABLE,INE792I01017,174.5,100
133,KAYA,INE587G01015,341.9,20
134,SANOFI,INE058A01010,8098.95,20
135,KAMOPAINTS,INE0BTI01029,170.4,21.27
136,SULA,INE142Q01026,496.75,20
137,BANKETF,INF769K01KR3,475.65,20
138,ABSLLIQUID,INF209KB18T9,1000,10
139,TPLPLASTEH,INE413G01022,89.15,26.79
140,INDUSTOWER,INE121J01017,327.85,20
141,MOLOWVOL,INF247L01BL0,34.7,20
142,AIROLAM,INE801L01010,155.1,22.46
143,RICOAUTO,INE209B01025,122.7,24.32
144,UCOBANK,INE691A01018,51.95,21.5
145,IRIS,INE864K01010,190.8,22.38
146,DOMS,INE321T01012,1802.8,20
147,JUNIORBEES,INF732E01045,675.32,6
148,KFINTECH,INE138Y01010,748.7,20
149,FORTIS,INE061F01013,452.1,20
150,LAMBODHARA,INE112F01022,146.5,25.05
151,SOUTHWEST,INE980Y01015,111.15,20
152,BERGEPAINT,INE463A01038,481.25,20
153,OIL,INE274J01014,617.35,20
154,SCHNEIDER,INE839M01018,794.95,100
155,ITC,INE154A01025,425.1,9
156,LICNETFGSC,INF767K01MV5,25.14,10
157,AARVI,INE754X01016,138.85,22.39
158,ORIENTBELL,INE607D01018,359.25,20
159,EMAMILTD,INE548C01032,526.4,20
160,ZUARIIND,INE217A01012,310.7,22.39
161,SPLIL,INE978G01016,58.55,20
162,AHL,INE00ZE01026,410.25,20
163,CONTROLPR,INE663B01015,893.65,20
164,EBBETF0431,INF754K01LE1,1216.77,20
165,IMFA,INE919H01018,663,20
166,PRIMESECU,INE032B01021,175.05,20
167,PFS,INE560K01014,39.75,23.63
168,3MINDIA,INE470A01017,28834.65,20
169,CONFIPET,INE552D01024,85.6,20
170,MAHAPEXLTD,INE843B01013,126.35,23.19
171,GUJGASLTD,INE844O01030,531.95,20
172,SETF10GILT,INF200KA1JT1,228.41,10
173,WHIRLPOOL,INE716A01013,1418.05,20
174,SOTL,INE035D01020,562.65,20
175,HISARMETAL,INE598C01011,194.6,24
176,CONSUMBEES,INF204KA1LD7,113.52,20
177,LTF,INE498L01015,157.05,20
178,VIDHIING,INE632C01026,454.4,20
179,BBTCL,INE01EE01011,252.95,20
180,ADVENZYMES,INE837H01020,382.65,20
181,JITFINFRA,INE863T01013,756.05,100
182,AXSENSEX,INF846K010Q0,73.23,6.65
183,VTL,INE825A01020,426.85,20
184,MAXESTATES,INE03EI01018,342.25,20
185,ICICIB22,INF109KB15Y7,102.44,20
186,JYOTHYLAB,INE668F01031,457.3,20
187,MIRZAINT,INE771A01026,44.65,21.56
188,INDIANB,INE562A01011,517.2,20
189,MANKIND,INE634S01028,2171.3,20
190,SARDAEN,INE385C01021,257.7,20
191,LAOPALA,INE059D01020,319.55,20
192,GMDCLTD,INE131A01031,385.9,24.43
193,GHCLTEXTIL,INE0PA801013,82.75,20
194,SESHAPAPER,INE630A01024,313.9,20
195,ASTRAL,INE006I01046,2072.05,20
196,SONACOMS,INE073K01018,605.5,20
197,HAVELLS,INE176B01034,1673.55,20
198,INTELLECT,INE306R01017,1024.8,20
199,MAITHANALL,INE683C01011,1165.85,20
200,OPTIEMUS,INE350C01017,259.1,20.93
201,BHAGCHEM,INE414D01027,172.4,20
202,SAFARI,INE429E01023,1977.3,20
203,KKCL,INE401H01017,638.85,20
204,SRGHFL,INE559N01010,271.3,20
205,SAHYADRI,INE280H01015,360.7,20
206,BALPHARMA,INE083D01012,99.5,20
207,PFIZER,INE182A01018,4304.8,20
208,SADHNANIQ,INE888C01040,66.25,20
209,MADRASFERT,INE414A01015,84.65,21.54
210,RESPONIND,INE688D01026,280.55,20
211,MCX,INE745G01035,3759.05,20
212,VENUSREM,INE411B01019,299.2,21.29
213,AARON,INE721Z01010,252.7,20
214,DRREDDY,INE089A01023,5877.35,9
215,DREDGECORP,INE506A01018,731.05,20.15
216,CARERATING,INE752H01013,1101.5,20
217,TVTODAY,INE038F01029,224.7,20
218,PGEL,INE457L01011,1966.7,20
219,OSWALGREEN,INE143A01010,32.35,22.27
220,ARVIND,INE034A01011,350.05,20
221,APCOTEXIND,INE116A01032,414.5,20
222,BANKBETF,INF0QA701714,47.48,20
223,DCMNVL,INE08KP01019,196.9,20.71
224,DCBBANK,INE503A01015,128.1,20
225,RACE,INE084Q01012,326.1,20
226,RRKABEL,INE777K01022,1601.85,20
227,JSWINFRA,INE880J01026,244.1,20
228,RADIANTCMS,INE855R01021,83.85,20
229,BIOCON,INE376G01013,298.65,20
230,BIRLACORPN,INE340A01012,1483.75,20
231,MAYURUNIQ,INE040D01038,517.65,20
232,CHEMCON,INE03YM01018,248.55,20
233,RKSWAMY,INE0NQ801033,262.4,20
234,VADILALIND,INE694D01016,4649.05,20
235,DCXINDIA,INE0KL801015,306.75,20
236,SIRCA,INE792Z01011,308.4,20
237,ANDHRAPAP,INE435A01028,508.25,20
238,ALMONDZ,INE326B01027,106.45,100
239,GRMOVER,INE192H01020,135.6,20
240,PIIND,INE603J01030,3517.15,20
241,TATSILV,INF277KA1984,8.13,20
242,INDUSINDBK,INE095A01012,1401.45,11.23
243,STERTOOLS,INE334A01023,357.95,20
244,TATAPOWER,INE245A01021,413.5,20
245,NAHARINDUS,INE289A01011,121.35,20
246,FILATEX,INE816B01035,55.05,20
247,BRITANNIA,INE216A01030,5070.1,9
248,MSTCLTD,INE255X01014,800.65,22.98
249,INDRAMEDCO,INE681B01017,240.55,20
250,AXISILVER,INF846K011K1,83.26,20
251,IOLCP,INE485C01011,372.3,20
252,HDFCMOMENT,INF179KC1HV6,32.05,20
253,REFEX,INE056I01025,148.35,20
254,SDL26BEES,INF204KC1022,120.4,20
255,HNDFDS,INE254N01026,495,20
256,SGBNOV258,IN0020170109,7199,10
257,SGBOCT27VI,IN0020190388,7199,10
258,ORISSAMINE,INE725E01024,6153,20.88
259,BPCL,INE029A01011,592.15,12.3
260,ROTO,INE535D01029,390.7,20
261,SGBDE30III,IN0020220110,7223.44,10
262,GULPOLY,INE255D01024,195.95,20
263,ABB,INE117A01022,6985.1,20
264,APTUS,INE852O01025,314,20
265,SBC,INE04AK01028,27.7,22.4
266,EIMCOELECO,INE158B01016,1975.65,100
267,NITINSPIN,INE229H01012,351.7,20
268,GOLDBEES,INF204KB17I5,60.42,20
269,SGBSEP24,IN0020160043,7129.57,10
270,GEECEE,INE916G01016,298.7,20
271,ALPHAGEO,INE137C01018,342.25,20.82
272,CYBERTECH,INE214A01019,150.8,20.96
273,SOLARA,INE624Z01016,495.45,21.72
274,MOM50,INF247L01536,224.2,6
275,SHALBY,INE597J01018,270.05,20
276,CEATLTD,INE482A01020,2289.2,20
277,NSLNISP,INE0NNS01018,60.2,20
278,SGBOCT25V,IN0020170075,7115,10
279,BCG,INE425B01027,12.9,100
280,MRF,INE883A01011,126225.15,20
281,APOLLOPIPE,INE126J01016,605.3,20
282,PSUBANKADD,INF740KA1SY9,70.93,20
283,UTIBANKETF,INF789F1AUV1,48.3,20
284,SGBJUN28,IN0020200104,7113.15,10
285,VALIANTORG,INE565V01010,399.8,20
286,SYNGENE,INE398R01022,652,20
287,INFOBEAN,INE344S01016,403.65,20
288,INOXINDIA,INE616N01034,1312,20
289,ACC,INE012A01025,2416.15,20
290,SIYSIL,INE076B01028,462.65,20
291,GOLDSHARE,INF789F1AUX7,60.95,20
292,GRINDWELL,INE536A01023,2160.55,20
293,SHREECEM,INE070A01015,25500.75,20
294,ITIETF,INF109KC16I6,35.17,20
295,PHARMABEES,INF204KC1089,18.78,20
296,SENSEXADD,INF740KA1SZ6,75.63,7.19
297,NEOGEN,INE136S01016,1464.2,20
298,CLEAN,INE227W01023,1290.65,20
299,GRSE,INE382Z01011,900.65,20.94
300,TVSELECT,INE236G01019,322.25,21.08
301,SUKHJITS,INE450E01011,452.2,20
302,SPECIALITY,INE247M01014,180.8,20
303,JINDALPHOT,INE796G01012,623.35,24.08
304,GANGESSECU,INE335W01016,155,23.77
305,ROLEXRINGS,INE645S01016,1940.35,20
306,WENDT,INE274C01019,13027.05,20
307,UNIVPHOTO,INE03V001013,362.55,20
308,FLAIR,INE00Y201027,282.8,20
309,HCLTECH,INE860A01027,1320.05,9.2
310,JUBLPHARMA,INE700A01033,679.2,20
311,TIMKEN,INE325A01013,3457.55,20
312,SGBMAR28X,IN0020190552,7050.75,10
313,SGBSEP31II,IN0020230093,7125.34,10
314,ASPINWALL,INE991I01015,263.45,22.89
315,IIFL,INE530B01024,376.4,22.76
316,AYMSYNTEX,INE193B01039,86.65,20
317,SBFC,INE423Y01016,81.55,20
318,GOKUL,INE020J01029,40.8,100
319,SALZERELEC,INE457F01013,737.7,22.36
320,EROSMEDIA,INE416L01017,20.55,24.45
321,ARE&M,INE885A01032,1092.8,20
322,NIITLTD,INE161A01038,98.9,20.22
323,ADANIENSOL,INE931S01010,980.05,23.02
324,KAYNES,INE918Z01012,2449.75,20
325,RAMKY,INE874I01013,508.4,24.09
326,ADORWELD,INE045A01017,1320.1,20
327,DIL,INE411Y01011,7.8,21.79
328,HEXATRADEX,INE750M01017,149.2,20
329,STARCEMENT,INE460H01021,218.15,20
330,MGEL,INE0APB01024,20.3,25.56
331,SPARC,INE232I01014,212.15,21.27
332,SGBJUL25,IN0020170034,7180,10
333,TI,INE133E01013,222.1,20
334,REPRO,INE461B01014,797.4,20
335,EXIDEIND,INE302A01020,448.8,20
336,THERMAX,INE152A01029,4485.35,20
337,INDOCO,INE873D01024,328.65,20
338,DMCC,INE505A01010,306.65,20
339,NEXT50IETF,INF109KC1NS5,65.87,6.29
340,PALREDTEC,INE218G01033,119.55,100
341,VAISHALI,INE972X01014,167.55,20.2
342,WINDMACHIN,INE052A01021,77.6,25.21
343,DECCANCE,INE583C01021,611.1,20
344,GOKEX,INE887G01027,802.55,20
345,GILLETTE,INE322A01010,6911.85,20
346,DHAMPURSUG,INE041A01016,219.7,20
347,MODISONLTD,INE737D01021,129.5,100
348,IVC,INE050B01023,10.9,20.55
349,MOTILALOFS,INE338I01027,2151.15,20
350,ZAGGLE,INE07K301024,287.25,20
351,SGBOCT27,IN0020190370,7044.63,10
352,UDS,INE851I01011,298.3,20
353,SHANTIGEAR,INE631A01022,556.05,20
354,RBL,INE244J01017,923.05,20
355,JSWSTEEL,INE019A01038,834.55,10.28
356,TDPOWERSYS,INE419M01027,290,20
357,BAJAJHLDNG,INE118A01012,8383.55,20
358,RAMANEWS,INE278B01020,20.8,24.61
359,TTML,INE517B01013,75.8,20.69
360,IDEAFORGE,INE349Y01013,670.3,20
361,M&MFIN,INE774D01024,252.95,20
362,JAYSREETEA,INE364A01020,100.5,20
363,GSLSU,INE0JSX01015,210.3,20
364,GANESHBE,INE388A01029,156.35,20
365,MOM30IETF,INF109KC17C7,32.48,20
366,ORICONENT,INE730A01022,36.2,25.63
367,MANGALAM,INE584F01014,96.7,20
368,ROHLTD,INE283H01019,364.85,20.09
369,KNRCON,INE634I01029,247.4,20
370,UTINIFTETF,INF789F1AZC0,236.87,6
371,MALLCOM,INE389C01015,1013.15,20
372,ITDC,INE353K01014,606.65,22.05
373,NAVKARCORP,INE278M01019,97.6,25.24
374,CTE,INE627H01017,93.15,100
375,IFCI,INE039A01010,50.55,27.54
376,HATHWAY,INE982F01036,20.45,20
377,SUTLEJTEX,INE645H01027,54.9,20
378,SHREYAS,INE757B01015,281.4,21.37
379,SMARTLINK,INE178C01020,230.25,20
380,INNOVACAP,INE0DUT01020,452.35,20
381,SASKEN,INE231F01020,1538.55,20
382,RAIN,INE855B01025,160.9,20
383,DISHTV,INE836F01026,15.7,25.13
384,IRFC,INE053F01010,147.05,22.83
385,ALLSEC,INE835G01018,994.55,20
386,STYLAMIND,INE239C01020,1592.95,20
387,WIPRO,INE075A01022,455.9,9.31
388,JTLIND,INE391J01024,228.65,20
389,TATATECH,INE142M01025,1015.35,20
390,ATUL,INE100A01010,5836.8,20
391,GMRINFRA,INE776C01039,78.55,20
392,MONTECARLO,INE950M01013,668.6,20
393,NIACL,INE470Y01017,217.35,23.01
394,DIVISLAB,INE361B01024,3789.95,10.01
395,RSWM,INE611A01016,181.2,20
396,MTNL,INE153A01019,34.45,26.61
397,MAKEINDIA,INF769K01IB1,129.39,20
398,ASTERDM,INE914M01019,343.85,20
399,INDIANHUME,INE323C01030,253.65,20
400,SENCO,INE602W01019,880.25,20
401,SHARDACROP,INE221J01015,355.75,20
402,CENTURYTEX,INE055A01016,2000.5,20
403,GULFPETRO,INE586G01017,61.9,22.76
404,SGBAPR28I,IN0020200062,7199.9,10
405,FAZE3Q,INE963C01033,427.6,20
406,SWSOLAR,INE00M201021,703.6,20
407,ABSLAMC,INE404A01024,542.4,20
408,RAMASTEEL,INE230R01035,12.3,24.48
409,AARTIDRUGS,INE767A01016,457.3,20
410,LAXMICOT,INE801V01019,31.1,25.43
411,ELDEHSG,INE668G01021,966.05,20
412,BANKBEES,INF204KB15I9,484.79,20
413,IDFC,INE043D01016,111.25,20
414,SWELECTES,INE409B01013,1213,29.2
415,BTML,INE0EEJ01023,18.4,20
416,BIRLAMONEY,INE865C01022,123.3,20
417,DIVOPPBEES,INF204KA1MS3,73.92,20
418,ICEMAKE,INE520Y01019,481,20
419,SGBAUG29V,IN0020210129,7130,10
420,VINYLINDIA,INE250B01029,356.85,20
421,TCIEXP,INE586V01016,1088.7,20
422,HAPPYFORGE,INE330T01021,949,20
423,TRENT,INE849A01020,4407.95,20
424,EBBETF0430,INF754K01KO2,1360.05,20
425,MFSL,INE180A01020,962.7,20
426,GLS,INE03Q201024,833.35,20
427,DIVGIITTS,INE753U01022,811.8,20
428,USK,INE0N0Y01013,49.5,100
429,FINCABLES,INE235A01022,1014.5,20
430,PVRINOX,INE191H01014,1299.85,20
431,TATACHEM,INE092A01019,1044.3,20
432,UFO,INE527H01019,126.8,20
433,KAJARIACER,INE217B01036,1181.8,20
434,BHAGERIA,INE354C01027,159.35,20
435,SILVERBEES,INF204KC1402,80.55,20
436,APLLTD,INE901L01018,1001.35,20
437,IT,INF174KA1GC5,35.04,20
438,CAPLIPOINT,INE475E01026,1272.4,20
439,SGBNV29VII,IN0020210178,7112.48,10
440,ARVSMART,INE034S01021,668.3,20.13
441,CANTABIL,INE068L01024,198.75,20
442,POLYCAB,INE455K01017,5803.5,20
443,IMPAL,INE547E01014,990.3,20
